	TripId	Time	Neighbor1	Neighbor2	Neighbor3	Neighbor4	Neighbor5
0	Trip Id 1	68.19951915740967	JP_ID: 01501001 DTW: 3.51027542309km	JP_ID: 01501001 DTW: 3.79078798424km	JP_ID: 01501001 DTW: 3.99161597352km	JP_ID: 01501001 DTW: 4.11536447233km	JP_ID: 01501001 DTW: 4.11995464625km
1	Trip Id 2	51.986124992370605	JP_ID: 01200001 DTW: 2.79253834528km	JP_ID: 01200001 DTW: 3.37155283205km	JP_ID: 01200001 DTW: 3.38822974422km	JP_ID: 01200001 DTW: 3.47847778708km	JP_ID: 01200001 DTW: 3.49236225658km
2	Trip Id 3	69.07891702651978	JP_ID: 00791001 DTW: 4.69811541367km	JP_ID: 00791001 DTW: 4.76790562542km	JP_ID: 00791001 DTW: 4.80277955796km	JP_ID: 00791001 DTW: 4.86698044166km	JP_ID: 00791001 DTW: 4.91785270179km
3	Trip Id 4	56.46625900268555	JP_ID: 00010002 DTW: 2.45555901977km	JP_ID: 00010002 DTW: 2.84590172819km	JP_ID: 00010002 DTW: 3.21060329842km	JP_ID: 00010002 DTW: 3.45813089732km	JP_ID: 00010002 DTW: 3.46167920751km
4	Trip Id 5	54.40019202232361	JP_ID: 01300001 DTW: 4.31391065409km	JP_ID: 01300001 DTW: 4.46726121545km	JP_ID: 01300001 DTW: 4.6400373459km	JP_ID: 01300001 DTW: 4.6903051312km	JP_ID: 01300001 DTW: 4.73263659722km
