	TripId	Time	Neighbor1	Neighbor2	Neighbor3	Neighbor4	Neighbor5
0	Trip Id 1	392.5542981624603	JP_ID: 01501001 DTW: 0.013874606415368754km	JP_ID: 01501001 DTW: 0.015224048129470756km	JP_ID: 01501001 DTW: 0.015736379836091052km	JP_ID: 01501001 DTW: 0.016013091332028724km	JP_ID: 01501001 DTW: 0.016889920048552484km
1	Trip Id 2	201.60370302200317	JP_ID: 01200001 DTW: 0.020685469224294074km	JP_ID: 01200001 DTW: 0.022780762378723198km	JP_ID: 01200001 DTW: 0.02432501949003578km	JP_ID: 01200001 DTW: 0.02438856487725342km	JP_ID: 01200001 DTW: 0.02459410039842848km
2	Trip Id 3	391.38353419303894	JP_ID: 00791001 DTW: 0.015336994044971993km	JP_ID: 00791001 DTW: 0.01658076910137492km	JP_ID: 00791001 DTW: 0.017101154565871923km	JP_ID: 00791001 DTW: 0.017658909723781403km	JP_ID: 00791001 DTW: 0.017669741148300288km
3	Trip Id 4	254.90546107292175	JP_ID: 00010002 DTW: 0.014882175877381278km	JP_ID: 00010002 DTW: 0.017247889261746016km	JP_ID: 00010002 DTW: 0.019696952751058337km	JP_ID: 00010002 DTW: 0.019894708089114727km	JP_ID: 00010002 DTW: 0.019989195938263586km
4	Trip Id 5	250.3356750011444	JP_ID: 01300001 DTW: 0.02429394969849858km	JP_ID: 01300001 DTW: 0.024818117863589624km	JP_ID: 01300001 DTW: 0.02561600605820375km	JP_ID: 01300001 DTW: 0.025947464263656815km	JP_ID: 01300001 DTW: 0.026149351995502043km
